exp	dist_thr	count_thr	contacts_tot	contacts_preprocessed	contacts_filtered	alpha
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0	97050661	136305992	6760181	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0	97050661	136305992	5983	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.01	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.01	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.05	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.05	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.1	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.1	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.25	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0	97050661	198928328	8753776	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0	97050661	198928328	22031	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.01	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.01	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.05	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.05	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.1	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.1	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.25	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0	82153546	145968189	5966173	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0	82153546	145968189	24734	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0	82153546	184919493	6817098	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0	82153546	184919493	42562	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0	82153546	179592892	6866322	optimal
