exp1	exp2	replicate_type	size1	size2	jaccard_index	alpha	dist_thr	quant_thr
GM_set1_bio1	GM_set1_bio3	bio	6698	2901	0.08955732122587969	0.05	10000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4134856	2375938	0.10409947418375706	optimal	10000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	3742	1002	0.06822787660436838	0.05	10000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2634243	1804136	0.09173344497351088	optimal	10000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	19	25	0.5172413793103449	0.05	10000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	23622345	20143837	0.9614686797563659	optimal	100000000	0
GM_set1_bio1	GM_set1_bio3	bio	60724	27060	0.3858078774962507	0.05	100000000	0
GM_set1_bio1	GM_set1_bio3	bio	6006675	4977081	0.13127744701344976	optimal	100000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	21049	9471	0.0982367758186398	0.05	100000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	6475384	7372827	0.1339105151238988	optimal	100000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	16876	7283	0.09883562266897117	0.05	100000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2741649	1845744	0.09351714543771622	optimal	100000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	170	130	0.31004366812227074	0.05	100000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2695398	1811271	0.09212444590060961	optimal	100000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	55	60	0.6911764705882353	0.05	100000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	22350620	16795651	0.896731932089075	optimal	25000000	0
GM_set1_bio1	GM_set1_bio3	bio	42232	19041	0.4266455563575403	0.05	25000000	0
GM_set1_bio1	GM_set1_bio3	bio	5698118	4153497	0.1217943717928061	optimal	25000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	14641	6542	0.1007586780295157	0.05	25000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	6046662	5147369	0.1262084397388097	optimal	25000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	10948	4917	0.10196568729596443	0.05	25000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2812138	1958426	0.09635978044141534	optimal	25000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	606	368	0.2190237797246558	0.05	25000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2655764	1808352	0.09200596086688931	optimal	25000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	55	57	0.7230769230769231	0.05	25000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	20549949	15049514	0.8145358851801459	optimal	5000000	0
GM_set1_bio1	GM_set1_bio3	bio	23515	9777	0.45647038236066145	0.05	5000000	0
GM_set1_bio1	GM_set1_bio3	bio	4434061	3445539	0.1022087538282017	optimal	5000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	7017	3039	0.09173813918141353	0.05	5000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5139659	4030589	0.11466885202302063	optimal	5000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4424	2012	0.09418565113906835	0.05	5000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4632659	2762814	0.10465516275630804	optimal	5000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	3904	1144	0.06971816062725153	0.05	5000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2577429	1778321	0.09163164690456045	optimal	5000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	17	25	0.5	0.05	5000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	23375300	18833366	0.9341055397905876	optimal	50000000	0
GM_set1_bio1	GM_set1_bio3	bio	53372	23726	0.3949844394586379	0.05	50000000	0
GM_set1_bio1	GM_set1_bio3	bio	6009441	4659834	0.1274308511402725	optimal	50000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	18580	8307	0.09971777986829727	0.05	50000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	6440003	6428981	0.13065728003531232	optimal	50000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	14615	6298	0.09941120807486069	0.05	50000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2740556	1845147	0.09346382942194795	optimal	50000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	171	130	0.30869565217391304	0.05	50000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2694305	1810674	0.09206979097856455	optimal	50000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	56	60	0.6811594202898551	0.05	50000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	20457384	15461712	0.8366716054877366	optimal	10000000	0
GM_set1_bio1	GM_set1_bio3	bio	12932	4963	0.5047931382441978	0.05	10000000	0
GM_set1_bio1	GM_set1_bio3	bio	4720747	3730108	0.10709199501505297	optimal	10000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	3973	1560	0.10241083881251245	0.05	10000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	4978952	4309549	0.11685458863839707	optimal	10000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2991	1245	0.1045632333767927	0.05	10000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4099782	2342844	0.10141429600103395	optimal	10000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	1719	442	0.07888167748377434	0.05	10000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2373848	1791564	0.08735945017684485	optimal	10000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	12	14	0.5294117647058824	0.05	10000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	22321786	19371485	0.9239483521537695	optimal	100000000	0
GM_set1_bio1	GM_set1_bio3	bio	32273	13588	0.383564123450086	0.05	100000000	0
GM_set1_bio1	GM_set1_bio3	bio	5890205	5438278	0.12823146402605898	optimal	100000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	11157	4735	0.09607559142009794	0.05	100000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5855112	5924069	0.13137622373377422	optimal	100000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	9325	3810	0.09595327492699207	0.05	100000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2463949	1842922	0.08960064320493354	optimal	100000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	100	77	0.40476190476190477	0.05	100000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2401456	1803745	0.08798717762967256	optimal	100000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	46	47	0.8235294117647058	0.05	100000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	20624290	17047513	0.8672955686790361	optimal	25000000	0
GM_set1_bio1	GM_set1_bio3	bio	19816	8353	0.4625649013499481	0.05	25000000	0
GM_set1_bio1	GM_set1_bio3	bio	5373810	4275700	0.11848939467525649	optimal	25000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	6809	2818	0.1013614002974488	0.05	25000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5373058	5192038	0.12523249978486048	optimal	25000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	5414	2295	0.10301902990413507	0.05	25000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2574349	1960790	0.09284197194217247	optimal	25000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	344	213	0.2834101382488479	0.05	25000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2390017	1798531	0.08774807435608441	optimal	25000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	46	45	0.8571428571428571	0.05	25000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	19568763	14458587	0.7831468962128733	optimal	5000000	0
GM_set1_bio1	GM_set1_bio3	bio	8356	3470	0.6390852390852391	0.05	5000000	0
GM_set1_bio1	GM_set1_bio3	bio	4143329	3247470	0.09834684718624002	optimal	5000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	2470	1056	0.11265383401704007	0.05	5000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	4777164	3767345	0.10980779674062736	optimal	5000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	1673	780	0.12009132420091324	0.05	5000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4563333	2667013	0.10236804157756411	optimal	5000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	1488	454	0.08491620111731843	0.05	5000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2357638	1784834	0.0870649808145183	optimal	5000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	11	12	0.5333333333333333	0.05	5000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	21691615	18426684	0.8993855378762862	optimal	50000000	0
GM_set1_bio1	GM_set1_bio3	bio	27242	11379	0.3967306788181259	0.05	50000000	0
GM_set1_bio1	GM_set1_bio3	bio	5693602	4882731	0.12471549347837622	optimal	50000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	9458	3946	0.09787861413711196	0.05	50000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5698402	5666825	0.12846254343724514	optimal	50000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	7769	3168	0.0974312663054385	0.05	50000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2461272	1841561	0.08952313091927366	optimal	50000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	100	77	0.40476190476190477	0.05	50000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2398779	1802384	0.08790647630120971	optimal	50000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	46	47	0.8235294117647058	0.05	50000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	22017544	15482674	0.8425797460193015	optimal	10000000	0
GM_set1_bio1	GM_set1_bio3	bio	30842	11486	0.3588443017656501	0.05	10000000	0
GM_set1_bio1	GM_set1_bio3	bio	5236892	3610080	0.11048947046292006	optimal	10000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	9628	3843	0.08148683365446371	0.05	10000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	5730259	4556923	0.11958567682692374	optimal	10000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	6698	2719	0.08415841584158416	0.05	10000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	4134856	2127757	0.09741216918329475	optimal	10000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	3742	582	0.04748062015503876	0.05	10000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2634243	1768884	0.0902434567470827	optimal	10000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	19	20	0.56	0.05	10000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	23622345	20125534	0.948218734071148	optimal	100000000	0
GM_set1_bio1	GM_set1_bio3	bio	60724	25027	0.34877392767824844	0.05	100000000	0
GM_set1_bio1	GM_set1_bio3	bio	6006675	5093462	0.1302788078292123	optimal	100000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	21049	8767	0.09068295716428285	0.05	100000000	0.01
GM_set1_bio1	GM_set1_bio3	bio	6475384	7299671	0.1332039525337928	optimal	100000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	16876	6749	0.09041816671282193	0.05	100000000	0.05
GM_set1_bio1	GM_set1_bio3	bio	2741649	1833605	0.0922051675266161	optimal	100000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	170	114	0.2909090909090909	0.05	100000000	0.1
GM_set1_bio1	GM_set1_bio3	bio	2695398	1800382	0.09082721310337816	optimal	100000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	55	56	0.734375	0.05	100000000	0.25
GM_set1_bio1	GM_set1_bio3	bio	22350620	16846576	0.8850054784486141	optimal	25000000	0
GM_set1_bio1	GM_set1_bio3	bio	42232	17402	0.38896911538640705	0.05	25000000	0
