	distance_thr	counts_thr	time (s)	file	res	cell	set
96	100000000.0	0.01	602.0899591445923	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
97	100000000.0	0.05	369.4169223308563	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
98	100000000.0	0.1	389.01841259002686	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
99	100000000.0	0.25	365.0932273864746	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5kb	GM	set2
100	5000000.0	0.0	2184.1765937805176	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
101	5000000.0	0.01	1975.2945353984835	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
102	5000000.0	0.05	1756.7895622253418	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
103	5000000.0	0.1	1333.8816769123075	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
104	5000000.0	0.25	1428.4379966259005	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
105	10000000.0	0.0	2147.4232726097107	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
106	10000000.0	0.01	1983.1433236598969	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
107	10000000.0	0.05	1586.183470249176	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
108	10000000.0	0.1	1102.434960603714	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
109	10000000.0	0.25	1015.7576603889464	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
110	25000000.0	0.0	1420.23402261734	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
111	25000000.0	0.01	1102.5674874782562	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
112	25000000.0	0.05	827.4285011291504	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
113	25000000.0	0.1	750.2832143306732	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
114	25000000.0	0.25	707.667387008667	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
115	50000000.0	0.0	1186.4966762065887	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
116	50000000.0	0.01	878.4777207374573	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
117	50000000.0	0.05	627.6232106685638	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
118	50000000.0	0.1	582.8324825763702	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
119	50000000.0	0.25	522.144150018692	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
120	100000000.0	0.0	873.0106449127197	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
121	100000000.0	0.01	755.8009743690491	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
122	100000000.0	0.05	427.20350217819214	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
123	100000000.0	0.1	477.4132602214813	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
124	100000000.0	0.25	433.87193775177	HUVEC_HiC_combined_4DNFIYL35EHL_5kb	5kb	HUVEC	HiC
125	5000000.0	0.0	1019.0658752918245	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
126	5000000.0	0.01	975.000839471817	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
127	5000000.0	0.05	948.309310913086	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
128	5000000.0	0.1	941.4819905757904	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
129	5000000.0	0.25	652.8977520465851	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
130	10000000.0	0.0	963.46719622612	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
131	10000000.0	0.01	989.9813044071198	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
132	10000000.0	0.05	1061.7029881477356	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
133	10000000.0	0.1	1063.3872299194336	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
134	10000000.0	0.25	768.057963848114	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
135	25000000.0	0.0	1087.2044441699982	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
136	25000000.0	0.01	1104.79584980011	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
137	25000000.0	0.05	1115.8849697113037	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
138	25000000.0	0.1	892.6461431980133	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
139	25000000.0	0.25	649.054892539978	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
140	50000000.0	0.0	1091.0225355625153	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
141	50000000.0	0.01	988.7184176445008	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
142	50000000.0	0.05	867.9480288028717	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
143	50000000.0	0.1	618.5626354217529	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
144	50000000.0	0.25	517.8430418968201	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
145	100000000.0	0.0	879.2458667755127	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
146	100000000.0	0.01	825.9953827857971	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
147	100000000.0	0.05	807.4106266498566	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
148	100000000.0	0.1	530.4672145843506	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
149	100000000.0	0.25	506.2252788543701	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10kb	GM	set1
150	5000000.0	0.0	3744.8693811893454	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
151	5000000.0	0.01	3330.2742264270782	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
152	5000000.0	0.05	3476.244749546051	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10kb	IMR90	HiC
