Dataset	Cell line	Method	Interaction type	Jaccard Index
Rao	IMR90	diffHic	trans	0.328
Rao	IMR90	diffHic	trans	0.316
Rao	IMR90	diffHic	trans	0.307
Rao	IMR90	diffHic	trans	0.115
Rao	IMR90	diffHic	trans	0.290
Rao	IMR90	diffHic	trans	0.300
Rao	IMR90	diffHic	trans	0.448
Dixon 2012	H1-hESC	Fit-Hi-C	cis	0.029
Dixon 2012	IMR90	Fit-Hi-C	cis	0.213
Dixon 2012	H1-hESC	Fit-Hi-C	trans	NA
Dixon 2012	IMR90	Fit-Hi-C	trans	NA
Dixon 2015	H1-hESC	Fit-Hi-C	cis	0.067
Dixon 2015	H1-hESC	Fit-Hi-C	trans	NA
Jin	IMR90	Fit-Hi-C	cis	0.003
Jin	IMR90	Fit-Hi-C	cis	0.002
Jin	IMR90	Fit-Hi-C	cis	0.002
Jin	IMR90	Fit-Hi-C	cis	0.000
Jin	IMR90	Fit-Hi-C	cis	0.000
Jin	IMR90	Fit-Hi-C	cis	0.000
Jin	IMR90	Fit-Hi-C	cis	0.000
Jin	IMR90	Fit-Hi-C	cis	0.000
Jin	IMR90	Fit-Hi-C	cis	0.000
Jin	IMR90	Fit-Hi-C	cis	0.143
Jin	IMR90	Fit-Hi-C	trans	NA
Lieberman-Aiden	GM06990	Fit-Hi-C	cis	0.018
Lieberman-Aiden	GM06990	Fit-Hi-C	cis	0.021
Lieberman-Aiden	GM06990	Fit-Hi-C	cis	0.175
Lieberman-Aiden	GM06990	Fit-Hi-C	cis	0.177
Lieberman-Aiden	GM06990	Fit-Hi-C	cis	0.061
Lieberman-Aiden	GM06990	Fit-Hi-C	cis	0.071
Lieberman-Aiden	GM06990	Fit-Hi-C	trans	NA
Rao	GM12878	Fit-Hi-C	cis	0.012
Rao	GM12878	Fit-Hi-C	cis	0.053
Rao	GM12878	Fit-Hi-C	cis	0.012
Rao	GM12878	Fit-Hi-C	cis	0.040
Rao	GM12878	Fit-Hi-C	cis	0.013
Rao	GM12878	Fit-Hi-C	cis	0.062
Rao	GM12878	Fit-Hi-C	cis	0.001
Rao	GM12878	Fit-Hi-C	cis	0.001
Rao	GM12878	Fit-Hi-C	cis	0.004
Rao	GM12878	Fit-Hi-C	cis	0.006
Rao	GM12878	Fit-Hi-C	cis	0.007
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.016
Rao	GM12878	Fit-Hi-C	cis	0.019
Rao	GM12878	Fit-Hi-C	cis	0.009
Rao	GM12878	Fit-Hi-C	cis	0.005
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.010
Rao	GM12878	Fit-Hi-C	cis	0.015
Rao	GM12878	Fit-Hi-C	cis	0.007
Rao	GM12878	Fit-Hi-C	cis	0.040
Rao	GM12878	Fit-Hi-C	cis	0.028
Rao	GM12878	Fit-Hi-C	cis	0.011
Rao	GM12878	Fit-Hi-C	cis	0.038
Rao	GM12878	Fit-Hi-C	cis	0.046
Rao	GM12878	Fit-Hi-C	cis	0.003
Rao	GM12878	Fit-Hi-C	cis	0.024
Rao	GM12878	Fit-Hi-C	cis	0.022
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.001
Rao	GM12878	Fit-Hi-C	cis	0.025
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.001
Rao	GM12878	Fit-Hi-C	cis	0.000
Rao	GM12878	Fit-Hi-C	cis	0.099
Rao	GM12878	Fit-Hi-C	cis	0.012
Rao	GM12878	Fit-Hi-C	cis	0.048
Rao	GM12878	Fit-Hi-C	cis	0.037
Rao	GM12878	Fit-Hi-C	cis	0.001
Rao	GM12878	Fit-Hi-C	cis	0.006
Rao	GM12878	Fit-Hi-C	cis	0.004
Rao	GM12878	Fit-Hi-C	cis	0.028
Rao	GM12878	Fit-Hi-C	cis	0.000
