	exp1	exp2	replicate_type	size1	size2	jaccard_index	Method	dist_thr	count_thr
153	GM_set1_bio2	GM_set1_bio3	bio	1102910	1772452	0.0880419753478836	HiCONA	5000000.0	1
154	GM_set1_bio2	GM_set1_bio3	bio	331714	790617	0.198274012062484	HiCONA	5000000.0	5
155	GM_set1_bio2	GM_set1_bio3	bio	108000	420945	0.1827982236056511	HiCONA	5000000.0	10
156	GM_set1_bio2	GM_set1_bio3	bio	3061877	4068814	0.0849817472934382	HiCONA	50000000.0	0
157	GM_set1_bio2	GM_set1_bio3	bio	1113915	1797763	0.0888807446494216	HiCONA	50000000.0	1
158	GM_set1_bio2	GM_set1_bio3	bio	331781	790925	0.1982432547814207	HiCONA	50000000.0	5
159	GM_set1_bio2	GM_set1_bio3	bio	108024	421089	0.1827718788420699	HiCONA	50000000.0	10
160	GM_set1_bio2	GM_set1_bio7	bio	2302831	2366845	0.0622363560262779	HiCONA	10000000.0	0
161	GM_set1_bio2	GM_set1_bio7	bio	1103939	735246	0.0787192274824615	HiCONA	10000000.0	1
162	GM_set1_bio2	GM_set1_bio7	bio	331726	60070	0.084292269288035	HiCONA	10000000.0	5
163	GM_set1_bio2	GM_set1_bio7	bio	108000	2438	0.0146727795591734	HiCONA	10000000.0	10
164	GM_set1_bio2	GM_set1_bio7	bio	3337164	2569328	0.0705608684414577	HiCONA	100000000.0	0
165	GM_set1_bio2	GM_set1_bio7	bio	1114089	736182	0.0789117066349765	HiCONA	100000000.0	1
166	GM_set1_bio2	GM_set1_bio7	bio	331786	60089	0.0843128465650629	HiCONA	100000000.0	5
167	GM_set1_bio2	GM_set1_bio7	bio	108024	2447	0.0147428949350577	HiCONA	100000000.0	10
168	GM_set1_bio2	GM_set1_bio7	bio	2197503	2256484	0.0584054246406722	HiCONA	5000000.0	0
169	GM_set1_bio2	GM_set1_bio7	bio	1102910	734733	0.0786302842901433	HiCONA	5000000.0	1
170	GM_set1_bio2	GM_set1_bio7	bio	331714	60070	0.0842950687191068	HiCONA	5000000.0	5
171	GM_set1_bio2	GM_set1_bio7	bio	108000	2438	0.0146727795591734	HiCONA	5000000.0	10
172	GM_set1_bio2	GM_set1_bio7	bio	3061877	2525601	0.0686654950030248	HiCONA	50000000.0	0
173	GM_set1_bio2	GM_set1_bio7	bio	1113915	736085	0.0788996390060126	HiCONA	50000000.0	1
174	GM_set1_bio2	GM_set1_bio7	bio	331781	60089	0.0843140130437549	HiCONA	50000000.0	5
175	GM_set1_bio2	GM_set1_bio7	bio	108024	2447	0.0147428949350577	HiCONA	50000000.0	10
176	GM_set1_bio2	GM_set1_bio3	bio	2302831	3413373	0.074177421994783	HiCONA	10000000.0	0
177	GM_set1_bio2	GM_set1_bio3	bio	1103939	1770449	0.0894811790430916	HiCONA	10000000.0	1
178	GM_set1_bio2	GM_set1_bio3	bio	331726	788301	0.2015536142826951	HiCONA	10000000.0	5
179	GM_set1_bio2	GM_set1_bio3	bio	108000	396286	0.1908142061018229	HiCONA	10000000.0	10
180	GM_set1_bio2	GM_set1_bio3	bio	3337164	4099580	0.0886929554734579	HiCONA	100000000.0	0
181	GM_set1_bio2	GM_set1_bio3	bio	1114089	1794336	0.0901948157341452	HiCONA	100000000.0	1
182	GM_set1_bio2	GM_set1_bio3	bio	331786	788500	0.2015349981069929	HiCONA	100000000.0	5
183	GM_set1_bio2	GM_set1_bio3	bio	108024	396368	0.1908198702920671	HiCONA	100000000.0	10
184	GM_set1_bio2	GM_set1_bio3	bio	2197503	3091063	0.0698108348830242	HiCONA	5000000.0	0
185	GM_set1_bio2	GM_set1_bio3	bio	1102910	1767532	0.0892352317512888	HiCONA	5000000.0	1
186	GM_set1_bio2	GM_set1_bio3	bio	331714	788278	0.2015573152297404	HiCONA	5000000.0	5
187	GM_set1_bio2	GM_set1_bio3	bio	108000	396274	0.1908196132883712	HiCONA	5000000.0	10
188	GM_set1_bio2	GM_set1_bio3	bio	3061877	3998646	0.0852462327376397	HiCONA	50000000.0	0
189	GM_set1_bio2	GM_set1_bio3	bio	1113915	1793803	0.0901504651022415	HiCONA	50000000.0	1
190	GM_set1_bio2	GM_set1_bio3	bio	331781	788492	0.2015352307243491	HiCONA	50000000.0	5
191	GM_set1_bio2	GM_set1_bio3	bio	108024	396363	0.1908221228533249	HiCONA	50000000.0	10
192	GM_set1_bio2	GM_set1_bio4	bio	2302831	2978530	0.0674324194316417	HiCONA	10000000.0	0
193	GM_set1_bio2	GM_set1_bio4	bio	1103939	849566	0.0857275133818977	HiCONA	10000000.0	1
194	GM_set1_bio2	GM_set1_bio4	bio	331726	188616	0.1946944510772734	HiCONA	10000000.0	5
195	GM_set1_bio2	GM_set1_bio4	bio	108000	48395	0.1735551453484009	HiCONA	10000000.0	10
196	GM_set1_bio2	GM_set1_bio4	bio	3337164	3275025	0.0780275984784789	HiCONA	100000000.0	0
197	GM_set1_bio2	GM_set1_bio4	bio	1114089	857428	0.0863292306827643	HiCONA	100000000.0	1
198	GM_set1_bio2	GM_set1_bio4	bio	331786	188689	0.1947008284116028	HiCONA	100000000.0	5
199	GM_set1_bio2	GM_set1_bio4	bio	108024	48420	0.1736410148689402	HiCONA	100000000.0	10
200	GM_set1_bio2	GM_set1_bio4	bio	2197503	2794908	0.0636218027928	HiCONA	5000000.0	0
201	GM_set1_bio2	GM_set1_bio4	bio	1102910	846856	0.0855662492024306	HiCONA	5000000.0	1
202	GM_set1_bio2	GM_set1_bio4	bio	331714	188610	0.1947024976694847	HiCONA	5000000.0	5
203	GM_set1_bio2	GM_set1_bio4	bio	108000	48395	0.1735551453484009	HiCONA	5000000.0	10
204	GM_set1_bio2	GM_set1_bio4	bio	3061877	3238731	0.0758836293122334	HiCONA	50000000.0	0
205	GM_set1_bio2	GM_set1_bio4	bio	1113915	850778	0.0860429686938582	HiCONA	50000000.0	1
206	GM_set1_bio2	GM_set1_bio4	bio	331781	188688	0.1947035099518647	HiCONA	50000000.0	5
207	GM_set1_bio2	GM_set1_bio4	bio	108024	48420	0.1736410148689402	HiCONA	50000000.0	10
208	GM_set1_bio2	GM_set1_bio5	bio	2302831	3482305	0.062534322633304	HiCONA	10000000.0	0
209	GM_set1_bio2	GM_set1_bio5	bio	1103939	1634516	0.0713821820170719	HiCONA	10000000.0	1
210	GM_set1_bio2	GM_set1_bio5	bio	331726	601068	0.2029749576350969	HiCONA	10000000.0	5
211	GM_set1_bio2	GM_set1_bio5	bio	108000	252972	0.2231985225597668	HiCONA	10000000.0	10
212	GM_set1_bio2	GM_set1_bio5	bio	3337164	3997524	0.074005258237136	HiCONA	100000000.0	0
213	GM_set1_bio2	GM_set1_bio5	bio	1114089	1642951	0.0719448459913265	HiCONA	100000000.0	1
214	GM_set1_bio2	GM_set1_bio5	bio	331786	601243	0.2029677439318417	HiCONA	100000000.0	5
215	GM_set1_bio2	GM_set1_bio5	bio	108024	253042	0.2232227552375532	HiCONA	100000000.0	10
216	GM_set1_bio2	GM_set1_bio5	bio	2197503	3306169	0.0586747349260181	HiCONA	5000000.0	0
217	GM_set1_bio2	GM_set1_bio5	bio	1102910	1630254	0.0711195604166495	HiCONA	5000000.0	1
218	GM_set1_bio2	GM_set1_bio5	bio	331714	601050	0.2029797079617941	HiCONA	5000000.0	5
219	GM_set1_bio2	GM_set1_bio5	bio	108000	252968	0.223201547944602	HiCONA	5000000.0	10
220	GM_set1_bio2	GM_set1_bio5	bio	3061877	3951993	0.0711773425451608	HiCONA	50000000.0	0
221	GM_set1_bio2	GM_set1_bio5	bio	1113915	1642127	0.0718943927865251	HiCONA	50000000.0	1
222	GM_set1_bio2	GM_set1_bio5	bio	331781	601240	0.2029682864469913	HiCONA	50000000.0	5
223	GM_set1_bio2	GM_set1_bio5	bio	108024	253038	0.2232174920555333	HiCONA	50000000.0	10
224	GM_set1_bio2	GM_set1_bio5	bio	2302831	3532489	0.061694050563704	HiCONA	10000000.0	0
225	GM_set1_bio2	GM_set1_bio5	bio	1103939	1666466	0.0710782712308292	HiCONA	10000000.0	1
226	GM_set1_bio2	GM_set1_bio5	bio	331726	613475	0.2008453678188519	HiCONA	10000000.0	5
227	GM_set1_bio2	GM_set1_bio5	bio	108000	257691	0.2243571715548413	HiCONA	10000000.0	10
228	GM_set1_bio2	GM_set1_bio5	bio	3337164	4119474	0.0732547393110829	HiCONA	100000000.0	0
229	GM_set1_bio2	GM_set1_bio5	bio	1114089	1675277	0.0716583744741341	HiCONA	100000000.0	1
230	GM_set1_bio2	GM_set1_bio5	bio	331786	613728	0.2008204320603513	HiCONA	100000000.0	5
231	GM_set1_bio2	GM_set1_bio5	bio	108024	257777	0.2243729206134566	HiCONA	100000000.0	10
232	GM_set1_bio2	GM_set1_bio5	bio	2197503	3282977	0.0576934767836351	HiCONA	5000000.0	0
233	GM_set1_bio2	GM_set1_bio5	bio	1102910	1661840	0.0708215977715601	HiCONA	5000000.0	1
234	GM_set1_bio2	GM_set1_bio5	bio	331714	613461	0.2008504766938385	HiCONA	5000000.0	5
235	GM_set1_bio2	GM_set1_bio5	bio	108000	257683	0.2243631810146247	HiCONA	5000000.0	10
236	GM_set1_bio2	GM_set1_bio5	bio	3061877	4029316	0.0704392017346349	HiCONA	50000000.0	0
237	GM_set1_bio2	GM_set1_bio5	bio	1113915	1674303	0.0715981436820815	HiCONA	50000000.0	1
238	GM_set1_bio2	GM_set1_bio5	bio	331781	613727	0.2008204372702045	HiCONA	50000000.0	5
239	GM_set1_bio2	GM_set1_bio5	bio	108024	257774	0.2243710754977172	HiCONA	50000000.0	10
240	GM_set1_bio2	GM_set1_bio6	bio	2302831	3487436	0.068163588628032	HiCONA	10000000.0	0
241	GM_set1_bio2	GM_set1_bio6	bio	1103939	1731462	0.0773467353791287	HiCONA	10000000.0	1
242	GM_set1_bio2	GM_set1_bio6	bio	331726	689295	0.1977263609340431	HiCONA	10000000.0	5
243	GM_set1_bio2	GM_set1_bio6	bio	108000	351571	0.2002658720105722	HiCONA	10000000.0	10
244	GM_set1_bio2	GM_set1_bio6	bio	3337164	3823310	0.0813526584639315	HiCONA	100000000.0	0
245	GM_set1_bio2	GM_set1_bio6	bio	1114089	1756643	0.0781031124824524	HiCONA	100000000.0	1
246	GM_set1_bio2	GM_set1_bio6	bio	331786	689452	0.1977167760897151	HiCONA	100000000.0	5
247	GM_set1_bio2	GM_set1_bio6	bio	108024	351621	0.2002835901573847	HiCONA	100000000.0	10
248	GM_set1_bio2	GM_set1_bio6	bio	2197503	3119848	0.0632462803333618	HiCONA	5000000.0	0
249	GM_set1_bio2	GM_set1_bio6	bio	1102910	1727814	0.0771039630332013	HiCONA	5000000.0	1
250	GM_set1_bio2	GM_set1_bio6	bio	331714	689283	0.197727712638352	HiCONA	5000000.0	5
251	GM_set1_bio2	GM_set1_bio6	bio	108000	351567	0.2002679641774205	HiCONA	5000000.0	10
